pair_id	median_2q13	median_5q35_3	median_7q22_1	median_15q24_2	median_16p11_2	median_19p13_3	median_1q22	median_2p23_3	median_3p22_2	median_12q24_31	median_17q21_32	median_19p13_3_1	median_22q13_2	median_2p15	median_5q35_3_1	median_6p22_1	median_8q22_1	median_12p13_31	median_19p13_11	median_19q13_33
134_pair	-2.195933e-03	-3.016887e-03	-5.146574e-03	-6.171410e-04	-2.356624e-03	0	1.795019e-03	-1.259355e-03	-2.954754e-03	-1.490999e-02	6.779190e-03	0	0	0	-3.016887e-03	0	0	-1.525967e-03	8.144617e-05	0
1353_pair	2.237206e-03	-2.976535e-03	0	2.561112e-03	3.867978e-03	0	2.582825e-03	-1.614718e-03	2.311352e-03	-1.189998e-02	0	0	0	0	-2.976535e-03	8.079463e-03	0	-1.082055e-02	0	2.704290e-03
1360_pair	-1.328760e-03	-9.319895e-04	0	0	4.889547e-03	-5.474522e-03	0	3.541611e-04	0	1.056658e-03	1.399545e-03	-5.474522e-03	0	0	-9.319895e-04	1.614578e-03	4.790673e-04	2.136009e-03	2.623994e-04	2.687217e-03
1371_pair	2.585667e-03	1.915261e-03	0	0	-2.816713e-03	0	5.551776e-03	2.801632e-03	0	5.506388e-03	0	0	0	0	1.915261e-03	5.241742e-03	-5.015516e-03	5.269688e-04	0	-4.482659e-03
137_pair	7.559862e-05	3.328544e-03	0	1.010179e-02	6.043381e-03	0	1.590853e-02	-1.485926e-03	2.875252e-03	5.697373e-04	-6.942200e-04	0	-8.146003e-04	0	3.328544e-03	9.276866e-03	1.609959e-03	7.615449e-03	0	2.876340e-03
1384_pair	-2.060877e-03	0	2.106904e-03	2.624437e-03	-9.551695e-05	0	-3.959626e-03	4.747521e-03	-2.235961e-03	0	-2.870542e-04	0	0	0	0	0	-3.240142e-05	-1.606862e-03	0	-6.923614e-03
138_pair	2.221970e-03	4.549223e-01	0	0	-3.879682e-03	0	-9.027214e-03	3.347834e-03	0	-6.976238e-03	0	0	0	0	4.549223e-01	-3.919403e-03	0	7.614917e-03	0	0
139_pair	-8.505063e-03	-1.329306e-02	0	0	-4.988288e-03	-9.001489e-03	-1.282741e-02	-3.118662e-03	-3.024041e-03	-8.327980e-03	0	-9.001489e-03	0	2.120033e-03	-1.329306e-02	-4.667081e-03	0	-4.339486e-03	0	0
1416_pair	-5.730483e-03	-4.508077e-03	0	-2.455502e-03	-5.846143e-03	0	-2.045856e-02	2.430345e-03	-5.393798e-03	0	-1.691366e-02	0	0	0	-4.508077e-03	-1.017205e-02	0	0	3.505236e-03	-1.639583e-02
141_pair	-2.046335e-02	-5.748821e-02	-1.079744e-02	-9.533827e-03	-1.312470e-02	0	-4.006924e-02	0	-1.119399e-02	-2.609629e-02	0	0	0	-1.572866e-03	-5.748821e-02	3.670312e-03	0	-3.739454e-02	0	-4.700556e-04
1423_pair	-2.559513e-03	-5.087744e-03	0	-3.365650e-03	1.236733e-03	-6.796871e-03	-3.932455e-03	0	-7.036171e-04	-8.760851e-03	0	-6.796871e-03	-3.233970e-03	0	-5.087744e-03	0	-2.809895e-03	-5.220321e-03	0	0
1424_pair	-1.120931e-03	-2.005251e-03	1.513763e-03	0	0	0	-4.422219e-04	1.643217e-03	0	1.065874e-03	0	0	0	0	-2.005251e-03	-2.245181e-04	0	-9.763148e-04	0	-7.422849e-04
1425_pair	0	-7.148691e-03	-3.072042e-03	0	1.518430e-05	0	6.209055e-04	-2.724019e-04	0	-5.572991e-03	4.190521e-03	0	0	2.382423e-03	-7.148691e-03	1.740549e-03	2.132308e-03	-1.296839e-02	0	0
1426_pair	-3.982851e-03	-2.891748e-03	0	0	1.516055e-03	0	-7.024405e-04	2.080664e-04	0	-2.092113e-05	-2.009426e-04	0	0	0	-2.891748e-03	2.298671e-03	0	-4.928719e-03	0	1.795455e-03
1427_pair	-4.000741e-03	-3.029710e-03	0	0	2.345753e-04	-1.065241e-03	1.820083e-03	-9.426295e-04	-2.678134e-04	-2.700939e-03	0	-1.065241e-03	0	1.927150e-03	-3.029710e-03	4.458175e-03	4.843247e-04	0	6.381813e-03	3.027828e-03
1430_pair	0	-1.796308e-04	0	0	2.095107e-03	0	0	0	-1.307609e-03	2.531910e-03	-1.866630e-04	0	0	-2.559150e-03	-1.796308e-04	1.145123e-03	-2.629149e-03	-1.393012e-04	0	-1.063571e-03
1431_pair	-2.649175e-04	4.226401e-03	0	0	-1.836861e-03	0	-4.532841e-04	-2.659393e-04	0	-7.185466e-04	0	0	0	7.783574e-04	4.226401e-03	7.593726e-03	-7.610258e-05	0	0	1.132815e-04
1432_pair	-1.214545e-03	7.584186e-03	-4.750672e-03	-4.199880e-04	-4.755699e-03	-2.263020e-03	-9.675957e-03	-2.561802e-04	3.134004e-04	8.171923e-04	0	-2.263020e-03	0	0	7.584186e-03	-4.951951e-03	-1.510290e-03	9.558711e-03	0	1.808747e-04
1446_pair	7.218266e-04	-2.012270e-03	-1.379969e-03	1.624565e-03	-2.013217e-03	0	-4.121258e-03	2.789214e-03	0	2.080592e-03	1.180872e-03	0	0	0	-2.012270e-03	-1.454000e-03	6.671477e-04	3.504862e-03	0	0
145_pair	-1.610023e-02	-7.580401e-03	7.089604e-03	0	0	0	2.335030e-03	-2.350785e-03	0	-1.014578e-02	0	0	0	0	-7.580401e-03	-1.558524e-03	0	4.379591e-03	0	-2.666878e-03
1464_pair	3.545763e-03	3.104264e-02	0	0	-2.440185e-04	0	0	5.771059e-06	0	3.723370e-03	-6.528306e-04	0	0	-3.898775e-03	3.104264e-02	-7.880336e-04	0	8.060421e-03	0	-3.851533e-03
1477_pair	1.744328e-03	2.272233e-03	0	0	-9.679296e-03	0	-3.931031e-03	0	-2.657852e-03	0	-1.012221e-02	0	0	-4.089994e-03	2.272233e-03	2.521577e-03	0	0	0	0
148_pair	2.524769e-04	-4.254964e-03	7.328844e-04	0	-3.714502e-03	0	1.556809e-03	-2.630006e-03	0	-3.862143e-03	4.951252e-03	0	1.629995e-03	0	-4.254964e-03	-1.404991e-03	0	-3.345577e-04	0	0
151_pair	3.025911e-03	-3.834867e-03	0	1.133092e-04	-5.744974e-03	1.458452e-03	-1.456587e-03	-1.360700e-04	0	-2.880771e-03	1.200748e-03	1.458452e-03	0	0	-3.834867e-03	-5.038809e-03	0	-9.990700e-03	0	4.013440e-03
1525_pair	8.733584e-04	-8.849217e-04	1.915039e-05	0	2.488215e-03	0	8.126171e-04	8.492337e-04	-1.940441e-04	0	2.661739e-03	0	0	0	-8.849217e-04	9.124697e-04	3.130427e-04	-2.437797e-03	0	-1.035092e-03
157_pair	1.065356e-03	-1.211932e-03	0	0	-2.188081e-02	-1.642899e-02	-7.221087e-03	0	-8.672258e-03	0	0	-1.642899e-02	0	1.531419e-02	-1.211932e-03	-8.481267e-03	2.831488e-03	-3.033392e-02	0	0
166_pair	1.335165e-03	5.396770e-03	0	0	-1.302908e-02	0	-2.442807e-03	0	0	0	1.435194e-03	0	0	-5.291460e-03	5.396770e-03	-1.598220e-03	-1.146657e-03	-1.166217e-02	0	0
174_pair	-7.593078e-03	-9.428192e-03	3.206029e-04	-5.612022e-03	9.230215e-04	0	-2.488081e-03	-4.030088e-03	-1.851238e-03	-2.404183e-03	2.729554e-03	0	0	1.402711e-03	-9.428192e-03	-7.518886e-03	-2.892764e-03	-6.288027e-03	0	-8.838196e-04
176_pair	4.977994e-03	5.925633e-03	-7.577703e-04	8.825763e-03	-7.859365e-04	0	9.338099e-04	4.105985e-03	6.312372e-03	-4.707147e-03	-1.253893e-03	0	0	0	5.925633e-03	-6.304974e-03	0	1.400173e-02	0	0
177_pair	4.647147e-03	1.419815e-03	-1.022192e-02	1.202319e-01	-9.017547e-03	1.240151e-02	-7.545965e-03	-5.858481e-03	2.223438e-02	-7.793251e-03	6.380568e-03	1.240151e-02	0	1.712733e-02	1.419815e-03	-1.701886e-02	-8.566376e-03	3.154453e-03	0	-1.021202e-02
179_pair	3.566833e-03	5.869019e-03	-8.193235e-04	0	0	0	6.091636e-03	1.599077e-03	0	1.777569e-02	7.744490e-03	0	0	0	5.869019e-03	-2.176907e-03	0	1.495121e-02	0	0
181_pair	-3.579443e-03	-5.815214e-03	0	0	-1.360215e-03	0	3.453340e-03	4.497157e-03	-2.337458e-02	-1.215725e-02	-1.578459e-02	0	0	0	-5.815214e-03	4.738988e-03	0	4.810752e-03	0	0
184_pair	-6.948375e-04	0	0	0	-2.019657e-04	0	-1.806390e-02	-4.829317e-03	-1.549576e-03	0	0	0	-5.014895e-03	0	0	5.847399e-03	2.835590e-03	-3.506914e-02	0	-4.335036e-03
188_pair	-4.604478e-03	0	0	0	1.751754e-03	0	-1.264651e-03	-1.158416e-03	0	-2.196571e-03	-1.398928e-03	0	0	7.182718e-04	0	-1.061748e-04	0	1.149819e-03	0	0
192_pair	0	-7.567599e-04	-1.149536e-03	0	-7.400271e-03	-6.796202e-02	-6.778728e-03	0	-6.730802e-04	-3.592269e-03	-2.124934e-03	-6.796202e-02	0	0	-7.567599e-04	-3.795823e-03	1.413257e-02	7.860654e-04	0	0
199_pair	1.410145e-03	-2.133241e-03	1.334678e-03	1.551633e-03	-4.086041e-03	0	-1.631745e-03	1.872788e-04	2.587385e-05	-8.480542e-04	-4.544156e-04	0	0	3.505461e-03	-2.133241e-03	-4.453508e-04	0	-1.817567e-03	0	-2.065173e-03
244_pair	1.244938e-02	3.424718e-02	5.807375e-02	0	-3.968905e-02	5.999073e-02	1.577158e-02	0	-8.369772e-04	5.675361e-02	0	5.999073e-02	0	-3.986914e-03	3.424718e-02	-2.780407e-02	6.302420e-03	3.054378e-02	0	6.129362e-03
277_pair	-2.359842e-03	-2.281615e-02	-1.735282e-03	-1.706595e-03	0	0	-3.304512e-03	0	-5.120610e-03	-1.434276e-02	-7.269411e-03	0	0	-1.239778e-05	-2.281615e-02	-1.128732e-02	0	-9.614121e-03	0	3.655120e-04
278_pair	0	-3.316954e-03	0	0	-1.379772e-03	0	2.623149e-03	-6.115119e-03	0	-3.389971e-03	3.445202e-03	0	0	0	-3.316954e-03	2.847999e-04	0	-8.389692e-03	0	5.775618e-04
282_pair	-2.466870e-04	-1.572214e-03	0	0	-4.959580e-03	0	-7.187920e-03	0	-3.341986e-03	-1.336033e-03	0	0	0	0	-1.572214e-03	0	-8.491652e-04	0	0	1.657044e-03
283_pair	3.031337e-03	0	0	0	5.829494e-04	-1.234053e-04	1.591778e-03	0	-2.826533e-05	1.955109e-03	1.845196e-03	-1.234053e-04	0	2.231486e-04	0	-1.052089e-03	0	-3.644720e-03	0	0
288_pair	0	-3.769716e-03	0	0	7.531508e-04	0	3.148498e-03	-1.821284e-04	0	-2.118760e-03	6.354012e-04	0	0	0	-3.769716e-03	-3.324686e-04	-6.748026e-04	0	0	0
290_pair	-6.199504e-01	2.043273e-03	3.604983e-02	9.359714e-03	6.847945e-02	4.961461e-02	2.304947e-02	3.711649e-04	-4.241675e-03	5.033300e-02	0	4.961461e-02	0	-5.030934e-03	2.043273e-03	1.463284e-02	5.748899e-02	-8.126746e-03	-4.934737e-02	0
294_pair	-6.280685e-03	0	-1.266375e-02	-1.817843e-02	-3.746046e-02	-3.818216e-02	-3.687956e-02	-3.090936e-02	1.348630e-02	-3.869075e-02	3.155058e-04	-3.818216e-02	-999999999999999	7.748554e-03	0	-1.290208e-02	5.011161e-01	-2.141788e-02	-8.889069e-03	-3.109046e-02
296_pair	8.623288e-03	1.197045e-03	-7.834930e-03	0	-9.435788e-04	0	-3.088294e-03	0	-1.408736e-05	1.274450e-02	-5.218591e-03	0	0	3.279115e-03	1.197045e-03	-1.171065e-02	-1.435224e-02	-3.083472e-02	0	0
306_pair	-1.971534e-03	5.297112e-01	-2.472921e-02	-2.387978e-03	-1.494271e-03	0	-1.739897e-03	0	-5.964910e-03	-4.140506e-03	6.059744e-03	0	0	4.948150e-03	5.297112e-01	-1.531022e-02	-5.124346e-03	-8.202282e-03	-8.959003e-03	0
308_pair	-3.173891e-03	-7.437532e-03	3.079107e-03	0	4.711561e-03	-3.603095e-01	5.908144e-03	-1.695715e-03	0	0	-3.299248e-03	-3.603095e-01	0	0	-7.437532e-03	1.491987e-03	-1.349854e-03	-7.306966e-03	1.963269e-04	-1.587169e-02
318_pair	-8.251220e-04	-7.320184e-03	0	-3.218477e-03	-7.129476e-05	0	-2.800027e-03	0	0	-1.659052e-02	2.773073e-03	0	0	8.470413e-03	-7.320184e-03	4.924495e-04	1.670499e-03	-3.845686e-03	-6.397198e-04	2.882110e-03
339_pair	-6.922283e-04	-1.225430e-03	-3.035357e-04	0	-2.677242e-03	0	-2.834781e-03	0	-2.573294e-03	1.259201e-03	0	0	0	0	-1.225430e-03	0	0	4.203866e-04	0	-1.246837e-03
342_pair	-8.551936e-03	-1.105879e-02	-1.237107e-02	0	-1.488748e-03	0	3.311968e-03	0	2.692435e-03	-1.200799e-02	7.598867e-03	0	0	0	-1.105879e-02	-6.223587e-03	1.756324e-03	-1.357860e-02	0	6.437282e-03
343_pair	1.136180e-02	4.230622e-03	0	3.757357e-03	1.088956e-02	0	2.603223e-03	3.305861e-03	0	1.087092e-02	0	0	0	0	4.230622e-03	-5.464762e-03	0	1.370161e-02	0	-3.556929e-04
